backend,table_name,column_name,llm_raw
qwen3-4b,subscribers,phone,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.99, ""reason"": ""휴대폰 번호는 한국 개인정보보호법에서 명시된 개인 식별 정보 중 하나로, 개인 식별 가능성이 높으며 샘플값이 형식화된 휴대폰 번호 패턴을 보임""}"
qwen3-4b,cs_consultations,consult_id,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""컬럼명과 샘플값을 분석하면 CONS00000056와 같은 형식은 고유 식별 코드로, 숫자 기반의 업무 내부 코드이며, 개인 식별에 직접적인 연결이 없고, 생년월일이나 연락처 등 개인정보를 포함하지 않음""}"
qwen3-4b,call_records,cell_id,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""컬럼명과 샘플값을 분석하면 'CELL'로 시작하는 고유 코드 패턴으로, 휴대폰 번호나 주민등록번호와는 다름. 이는 통신 기기 또는 네트워크 세그먼트를 식별하는 코드로, 개인 식별 가능성이 낮으며 업무용 코드에 해당함""}"
qwen3-4b,employees,salary,"{""is_pii"": true, ""category"": ""EMPLOYMENT_INFO"", ""confidence"": 0.98, ""reason"": ""급여는 고용 관련 민감 정보로, 한국 개인정보보호법에서 고용 민감정보에 해당하며, 샘플값이 숫자형으로 급여 수준을 나타내는 패턴을 보임""}"
qwen3-4b,subscribers,join_date,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.99, ""reason"": ""가입일인 join_date는 업무용 날짜로, 생년월일이 아닌 사용자 등록 시점으로, 한국 개인정보보호법 기준에서 NON_PII에 해당한다.""}"
qwen3-4b,subscribers,subscriber_id,"{""is_pii"": true, ""category"": ""IDENTIFICATION"", ""confidence"": 0.95, ""reason"": ""subscriber_id의 샘플값은 고유번호 패턴을 따르며, SUB00100039와 같은 형식은 일반적으로 사용자 식별을 위한 고유번호로, 한국 개인정보보호법에서 개인 식별 가능한 고유번호에 해당한다.""}"
qwen3-4b,call_records,duration_sec,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.98, ""reason"": ""duration_sec는 전화 통화의 지속 시간을 나타내는 숫자형 컬럼으로, 샘플값은 통화 시간(초)이며 개인 식별이나 민감 정보를 포함하지 않음""}"
qwen3-4b,subscribers,plan_code,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""샘플값은 LTE_BASIC, 5G_PREMIUM 등의 서비스 계획 코드로, 사용자 식별이나 개인 정보를 포함하지 않으며 업무용 상태 또는 서비스 유형을 나타내는 코드에 해당한다.""}"
qwen3-4b,billing,card_expiry,"{""is_pii"": true, ""category"": ""PAYMENT_INFO"", ""confidence"": 0.95, ""reason"": ""카드 만료일은 신용카드 결제 정보의 중요한 구성 요소로, 한국 개인정보보호법에서 결제 정보에 포함되며, 샘플값이 '07/31' 등으로 카드 만료일 형식을 보여주므로 PAYMENT_INFO에 해당한다.""}"
qwen3-4b,employees,dept,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""컬럼값은 부서명으로, 고용 관련 코드나 상태 정보에 해당하며, 개인 식별이나 민감 정보를 포함하지 않음""}"
qwen3-4b,subscribers,card_type,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.99, ""reason"": ""카드 종류 코드(CREDIT/DEBIT/PREPAID)는 결제수단 유형을 나타내는 코드로, 개인 식별 정보나 민감한 결제 정보를 포함하지 않으며, 한국 개인정보보호법 기준에서 PII에 해당하지 않는다.""}"
qwen3-4b,subscribers,status,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""컬럼의 샘플값은 상태 코드(DORMANT, TERMINATED, ACTIVE, SUSPENDED)로, 사용자 식별이나 개인 정보를 직접 나타내지 않으며 업무용 상태를 나타내는 코드에 해당한다.""}"
qwen3-4b,subscribers,region_code,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""region_code는 숫자 코드 형태로 지역을 나타내며, 샘플값은 031, 042 등 3자리 이하의 고유 코드로, 개인 식별에 직접적인 연결이 없고 업무용 지역 코드에 해당한다.""}"
qwen3-4b,cs_consultations,channel,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""샘플값은 이메일, 챗봇, 콜센터, 매장과 같은 서비스 채널을 나타내며, 개인 식별 정보나 민감한 데이터를 포함하지 않음""}"
qwen3-4b,subscribers,gender,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.95, ""reason"": ""성별 정보는 개인 식별에 직접적으로 기여하며, 한국 개인정보보호법에서 개인의 기본 정보에 포함되는 범주에 해당한다.""}"
qwen3-4b,cs_consultations,consult_ts,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.99, ""reason"": ""컬럼명과 샘플값은 날짜 형식으로, 업무용 날짜(상담일시)를 나타내며, 생년월일이나 개인 식별 정보를 포함하지 않음""}"
qwen3-4b,reviews,review_text,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.95, ""reason"": ""샘플값에서 '장경자 점장님이 추천해준 요금제'와 '이현주 점장님이 추천해준 요금제' 등 이름이 명시되어 있으며, '상담사 이서연님', '이정호님', '김영미님' 등 상담사 이름도 포함되어 있어 개인 식별이 가능하다.""}"
qwen3-4b,cs_consultations,complaint_body,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.98, ""reason"": ""샘플값에서 이름, 휴대폰번호, 이메일 주소, 주소, 카드번호(이중청구 요청 시), 환불계좌번호가 포함되어 있으며, 이는 한국 개인정보보호법에서 개인 식별 가능한 정보에 해당한다. 특히 '이름', '연락처', '이메일', '주소' 등이 명시적으로 포함되어 있어 PERSONAL_INFO로 판정한다.""}"
qwen3-4b,subscribers,memo,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.98, ""reason"": ""샘플값에서 이름, 휴대폰번호, 주민등록번호가 명시적으로 포함되어 있으며, 이는 한국 개인정보보호법에서 정의된 개인 식별 정보에 해당한다.""}"
qwen3-4b,subscribers,imei,"{""is_pii"": true, ""category"": ""IDENTIFICATION"", ""confidence"": 1.0, ""reason"": ""IMEI는 15자리 단말 식별번호로, 한국 개인정보보호법에서 개인 식별 가능한 고유번호에 해당한다.""}"
qwen3-4b,subscribers,rrn,"{""is_pii"": true, ""category"": ""IDENTIFICATION"", ""confidence"": 1.0, ""reason"": ""주민등록번호 형식(생년월일-발행일)을 따르며, 한국 개인정보보호법에서 주민등록번호는 개인 식별 가능한 고유번호로 IDENTIFICATION 카테고리에 해당한다.""}"
qwen3-4b,billing,card_number,"{""is_pii"": true, ""category"": ""PAYMENT_INFO"", ""confidence"": 0.99, ""reason"": ""샘플값은 16자리 카드번호 형식을 따르며, 하이픈으로 분리된 형태로 표시되어 신용카드번호의 특징을 명확히 보여주고, 한국 개인정보보호법에서 결제정보는 PAYMENT_INFO에 포함된다.""}"
qwen3-4b,billing,bank_account,"{""is_pii"": true, ""category"": ""PAYMENT_INFO"", ""confidence"": 0.99, ""reason"": ""컬럼명과 샘플값의 패턴을 분석하면, '-'로 구분된 11자리 숫자(예: 217-13-814111)는 한국에서 일반적으로 사용되는 은행 계좌번호 형식과 일치하며, 이는 결제 관련 개인 식별 정보에 해당한다.""}"
qwen3-4b,employees,name_ko,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.99, ""reason"": ""컬럼명 name_ko와 샘플값이 한국어 이름으로 구성되어 있으며, 개인의 식별에 직접적으로 사용되는 이름 정보에 해당한다.""}"
qwen3-4b,subscribers,x_contact,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.99, ""reason"": ""샘플값은 휴대폰번호 형식(010-XXXX-XXXX)을 따르며, 한국에서 개인을 식별할 수 있는 직접적인 연락처 정보에 해당한다.""}"
qwen3-4b,subscribers,name_ko,"{""is_pii"": true, ""category"": ""PERSONAL_INFO"", ""confidence"": 0.99, ""reason"": ""컬럼명 name_ko와 샘플값이 한국어 이름으로 구성되어 있으며, 개인의 식별에 직접적으로 사용되는 이름 정보로, 한국 개인정보보호법에서 정의된 PERSONAL_INFO 범주에 해당한다.""}"
qwen3-4b,reviews,store_name,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""컬럼명과 샘플값을 분석하면 'store_name'은 상점 이름을 나타내며, '텔코스토어 종로' 등과 같은 지리적 위치 기반의 상점명으로, 개인 식별 정보나 민감한 데이터를 포함하지 않음""}"
qwen3-4b,employees,hire_date,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.98, ""reason"": ""입사일에 해당하는 업무용 날짜로서, 한국 개인정보보호법에서 생년월일과 구분되어 NON_PII로 분류된다.""}"
qwen3-4b,cs_consultations,category_code,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.99, ""reason"": ""샘플값은 DEVICE, COMPLAINT, PLAN_CHANGE, ETC, BILLING, NETWORK와 같은 코드 기반 카테고리로, 개인 식별 정보나 민감한 데이터를 포함하지 않으며, 업무용 상태 또는 서비스 유형을 나타내는 코드에 해당한다.""}"
qwen3-4b,billing,subscriber_id,"{""is_pii"": true, ""category"": ""IDENTIFICATION"", ""confidence"": 0.95, ""reason"": ""subscriber_id는 고유번호 형태로 구성되어 있으며, 샘플값에서 'SUB' 접두사와 8자리 숫자로 구성된 패턴을 보여주고, 이는 사용자 식별을 위한 고유 식별자로서 주민등록번호나 여권번호와 유사한 식별 기능을 수행한다.""}"
qwen3-4b,call_records,call_id,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""call_id는 고유번호 형태이지만, 샘플값이 일관된 패턴을 가지며, 실제 개인 식별에 직접적인 연결이 없고, 고객 식별에 필요한 민감 정보를 포함하지 않음""}"
qwen3-4b,billing,bill_id,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""bill_id는 고유번호 형태이지만, 샘플값에서 생년월일이나 개인 식별 정보가 포함되지 않으며, 업무용 청구번호와 같은 비밀번호나 민감 정보를 포함하지 않음""}"
qwen3-4b,reviews,review_id,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.98, ""reason"": ""review_id는 고유 식별자로서 리뷰의 고유한 코드이며, 샘플값에서 생년월일이나 개인 식별 정보가 포함되지 않으며, 업무용 고유번호에 해당하는 코드 패턴을 보임""}"
qwen3-4b,billing,due_date,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.99, ""reason"": ""납기일이라는 업무용 날짜로서, 생년월일이나 개인 식별 정보와는 무관하며 한국 개인정보보호법에서 정의된 업무용 날짜에 해당한다.""}"
qwen3-4b,employees,emp_id,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""emp_id는 고유번호이지만, 형식상 EMP000009와 같은 고정 패턴의 코드이며, 실제 개인 식별에 직접적으로 연결되지 않으며, 업무용 고유 식별자로서 입사일이나 가입일과 같은 업무 날짜와 유사한 특성을 가진다.""}"
qwen3-4b,call_records,call_type,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""call_type의 샘플값은 SMS, VOICE, VIDEO, DATA와 같은 기술적 서비스 유형 코드로, 개인 식별 정보나 민감한 데이터를 포함하지 않으며, 업무용 상태 또는 서비스 유형을 나타내는 코드에 해당한다.""}"
qwen3-4b,billing,billing_month,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.99, ""reason"": ""청구월을 나타내는 날짜형 컬럼으로, 업무용 날짜에 해당하며 한국 개인정보보호법에서 가입일/청구월과 같은 집계용 날짜는 PII가 아니다.""}"
qwen3-4b,billing,amount,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.98, ""reason"": ""컬럼명과 샘플값을 분석하면 금액 정보로, 개인 식별이나 고용 민감 정보를 포함하지 않으며, 업무용 집계 수치에 해당한다.""}"
qwen3-4b,employees,position,"{""is_pii"": false, ""category"": ""EMPLOYMENT_INFO"", ""confidence"": 0.95, ""reason"": ""샘플값은 직위를 나타내며, 고용 구조와 관련된 직무 등급 정보로, 급여나 인사평가와 같은 고용 민감 정보에 해당하지만 직위 자체는 고용 정보에 포함되는 일반적인 업무 정보에 해당한다.""}"
qwen3-4b,billing,paid_yn,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""paid_yn은 'N' 또는 'Y'로 구성된 상태 코드로, 결제 여부를 나타내는 업무용 플래그이며, 개인 식별 정보나 민감한 데이터를 포함하지 않음""}"
qwen3-4b,reviews,rating,"{""is_pii"": false, ""category"": ""NON_PII"", ""confidence"": 0.95, ""reason"": ""샘플값은 1부터 5까지의 정수로, 평가 점수나 상태 코드에 해당하며 개인 식별 정보를 포함하지 않음""}"
